<div><h1>1) Wie hoch ist der Luftdruck in Meereshöhe, und wie ändert er sich mit der Höhe?</h1><p>A) Kann in Meereshöhe um über 100 hPa schwanken, halbiert sich alle 3500 m</p><p>B) Immer exakt 1013,25 hPa, halbiert sich alle 5500 m</p><p>C) Durchschnittlich 1013,25 hPa, nimmt mit der Höhe gleichmäßig ab</p><p>D) Durchschnittlich 1013,25 hPa, halbiert sich alle 5500 m</p></div>;D
<div><h1>2) Welche Grobinformationen können aus dem Isobarenverlauf einer Bodenwetterkarte abgeleitet werden?</h1><p>A) Nur die Lage von Hoch- und Tiefdruckgebieten</p><p>B) Windrichtung und -stärke sowie Hoch- oder Tiefdruckeinfluss</p><p>C) Wind- und Temperaturverhältnisse</p><p>D) Der exakte Verlauf der Höhenströmung</p></div>;B
<div><h1>3) Wenn Luft aufsteigt</h1><p>A) gerät sie unter geringeren Druck und kühlt mit 0,65°C/100 m ab</p><p>B) nimmt ihr Volumen wegen der Druckabnahme zu, ihre Temperatur ab und ihre relative Feuchte zu</p><p>C) verringert sich die relative Feuchte wegen der Druckabnahme kontinuierlich</p><p>D) dehnt sie sich aus und erwärmt sich daher um 1 Grad je 100 m</p></div>;B
<div><h1>4) Nach mehreren Schönwettertagen sind am Morgen flockenförmige Schäfchenwolken oder mittelhohe Wolkenbänke mit fingerförmigen Auswüchsen (Ac castellani) zu sehen, die eventuell bald wieder verschwinden. Worauf weist diese Erscheinung hin?</h1><p>A) Auf Labilisierung in der Höhe und damit auf eine stark erhöhte Wahrscheinlichkeit für nachfolgende lokale Überentwicklungen und Gewitter oder Annäherung einer Kaltfront</p><p>B) Auf den Fortbestand des störungsfreien Schönwetters bei gleichzeitiger Verschlechterung der Thermik durch Warmluftzufuhr in der Höhe</p><p>C) Auf die Annäherung einer Warmfront</p><p>D) Mit dieser Erscheinung sind keine eindeutigen Wetterentwicklungen verbunden</p></div>;A
<div><h1>5) Gibt es, abgesehen vom bekannten Südföhn, noch andere Föhnwinde?</h1><p>A) Nur noch den Nordföhn, ebenfalls in den Alpen</p><p>B) Ja, alle trockenen und warmen Strömungen werden als Föhn bezeichnet</p><p>C) Ja, überall dort, wo eine stärkere großräumige Strömung quer auf Berg- oder Hügelketten trifft, sind Föhnerscheinungen möglich</p><p>D) Alle trockenen und warmen Strömungen werden als Föhn bezeichnet und überall dort, wo eine stärkere großräumige Strömung quer auf Berg- oder Hügelketten trifft, sind Föhnerscheinungen möglich</p></div>;C
<div><h1>6) Der Flugwetterbericht spricht von einer kräftigen Föhnströmung. Zusätzlich wird erwähnt, dass auf Grund des Wind- und/oder Temperaturprofils keine Wellenbildung zu erwarten ist. Was bedeutet dieser Hinweis für die Praxis?</h1><p>A) Trotz fehlender Wellenbildung ist bei Föhnlage gefahrloses Fliegen nicht möglich</p><p>B) Anstelle von föhntypischen Linsenwolken ist ein anderes Wolkenbild, evtl. mit zerrissenen Cumuli, zu erwarten</p><p>C) Obwohl hoch reichende Wellen ausbleiben, ist die Strömung sehr turbulent</p><p>D) Alle Antworten sind richtig</p></div>;D
<div><h1>7) Was ist unter dem Einschlafen des Föhns zu verstehen?</h1><p>A) Das zeitliche Ende der Föhnströmung</p><p>B) Das Abschwächen des Föhns mit zunehmendem Abstand vom Auslösehindernis</p><p>C) Ein Abheben der wärmeren und leichteren Föhnströmung durch lokale Kaltluftbildung. Starke Föhnböen können dennoch bis zum Boden durchbrechen</p><p>D) Wegen der fehlenden Einstrahlung verringert sich zum Abend hin der horizontale Druckgradient wodurch der Föhn schwächer wird</p></div>;C
<div><h1>8) Warum können Föhnwolken (Ac lenticularis) trotz sehr hoher Windgeschwindigkeiten für lange Zeiträume an der selben Position verharren?</h1><p>A) Wegen ihrer strömungsgünstigen Form "stehen" sie ruhig im Wind (Föhnfische)</p><p>B) Diese Wolken befinden sich oberhalb der Starkwindschicht in ruhiger Luft</p><p>C) Sie werden durchströmt, bestehen also ständig aus neuen Tröpfchen</p><p>D) Falsch, Wellenwolken wandern immer mit der Strömung ab, aber wegen des geringen Widerstandes viel langsamer als mit der aktuellen Windgeschwindigkeit</p></div>;C
<div><h1>9) Sind bei Föhnlagen auf der Leeseite des Gebirges zwingend Wellenwolken (Ac lenticularis), Rotorwolken und eine Föhnmauer zu sehen?</h1><p>A) Ja, sonst ist es keine Föhnströmung</p><p>B) Ja, lediglich die überschwappende Föhnmauer kann fehlen</p><p>C) Nein, das Wolkenbild weicht mitunter deutlich vom "Lehrbuchföhn" ab, sogar wolkenloser Himmel ist möglich</p><p>D) Wellenwolken sind ein zwingendes Merkmal von Föhn, Rotorwolken und Föhnmauer können hingegen fehlen.</p></div>;C
<div><h1>10) Wo und wann erfolgt der Föhndurchbruch üblicherweise am raschesten?</h1><p>A) Im Bereich von Föhnschneisen (-gassen)</p><p>B) Im Bereich von Beckenlagen</p><p>C) Überall auf der Leeseite und unabhängig von der Schichtung annähernd zur selben Zeit</p><p>D) Am Gebirgsrand der Leeseite und während der Nachtstunden</p></div>;A
<div><h1>11) Hauptgefahren bei Föhn sind</h1><p>A) Extreme Windgeschwindigkeiten</p><p>B) Auch in zunächst windgeschützten Lagen sehr rascher Föhndurchbruch möglich</p><p>C) Heftige Turbulenz, z.T. ortsfest (Föhnrotoren, unmittelbares Lee), z.T. aber auch weit "abschwimmende" Wirbel</p><p>D) Alle sind richtig</p></div>;D
<div><h1>12) Der einzig sicherer Hinweis auf eine Föhnlage ergibt sich aus</h1><p>A) dem Flugwetterbericht mit Föhnprognose (Druckdiagramm) und aktuellen Windmeldungen von Messstationen im Vorhersagebereich</p><p>B) dem für Föhn typischen Wolkenbild</p><p>C) aus den Windverhältnissen am Startplatz</p><p>D) aus den guten Sichtweiten im Fluggebiet</p></div>;A
<div><h1>13) Durch eine ausgeprägte Sperrschicht (Isothermie oder Inversion) wird die Thermik</h1><p>A) rasch gestoppt, weil der Temperaturvorsprung des Aufwindes gegenüber der Umgebungsluft in der Sperrschicht mit jedem Höhenmeter geringer wird</p><p>B) rasch gestoppt, weil der Temperaturvorsprung der Umgebungsluft in der Sperrschicht gegenüber der des Aufwindes mit jedem Höhenmeter geringer wird</p><p>C) verstärkt, weil der Temperaturvorsprung der Umgebungsluft in der Sperrschicht gegenüber der des Aufwindes mit jedem Höhenmeter geringer wird</p><p>D) Verstärkt, weil der Temperaturvorsprung des Aufwindes gegenüber der Umgebungsluft in der Sperrschicht mit jedem Höhenmeter geringer wird</p></div>;A
<div><h1>14) Die markantesten Vorteile von Wolkenthermik gegenüber Blauthermik sind:</h1><p>A) Die Aufwinde unter Wolken sind immer stärker und tragen höher hinauf</p><p>B) Das Wolkenbild liefert Information über Aufwindverteilung, -höhe, -versetzung und -phase</p><p>C) Die Aufwinde sind stärker aber weniger turbulent</p><p>D) Durch Sogwirkung der mächtigen, darüber liegenden Quellwolken kommt es verbreitet zur Aufwindverstärkung</p></div>;B
<div><h1>15) Für den Flugtag wird gute Blauthermik-Entwicklung und Windstille vorhergesagt. Wann sollte ein Gelegenheitspilot fliegen, wenn ein ruhiger Gleitflug angestrebt wird?</h1><p>A) An Thermiktagen überhaupt nicht</p><p>B) Am Morgen, am frühen Vormittag und abhängig vom Fluggelände, eventuell am späteren Nachmittag</p><p>C) Zu jeder beliebigen Zeit, weil die Flugverhältnisse bei Blauthermik ohnehin turbulenzarm bleiben</p><p>D) Zwischen mittlerem Vormittag und mittlerem Nachmittag</p></div>;B
<div><h1>16) Hat Blauthermik auch Vorteile?</h1><p>A) Bessere Steigraten bei geringerer Turbulenz</p><p>B) Es gibt weder Abschattungen durch Cumuluswolken noch Überentwicklungen und auch keine ungewollten Einflüge in Wolken</p><p>C) Einfachere Beurteilung der Aufwindsituation durch das Fehlen von Sicht einschränkenden Cumuluswolken</p><p>D) Die Antworten "Es gibt..." und "Einfachere Beurteilung..." sind richtig</p></div>;B
